state_code,state_name,cost_per_watt_dollars,electricity_rate_cents_kwh,capacity_factor,marginal_emissions_lbs_co2_mwh
AK,Alaska,3.2,28.5,0.115,1100
AL,Alabama,2.65,16.2,0.165,1050
AR,Arkansas,2.7,13.3,0.165,980
AZ,Arizona,2.15,15.2,0.205,920
CA,California,2.44,33.8,0.195,750
CO,Colorado,2.55,16.5,0.19,1100
CT,Connecticut,2.77,30.3,0.155,680
DE,Delaware,2.75,16.8,0.155,820
FL,Florida,2.35,15.4,0.18,900
GA,Georgia,2.55,15.5,0.17,980
HI,Hawaii,3.1,39.9,0.19,1350
IA,Iowa,2.85,15.6,0.155,950
ID,Idaho,2.8,12.1,0.17,420
IL,Illinois,2.7,18.1,0.155,850
IN,Indiana,2.75,16.6,0.15,1200
KS,Kansas,2.8,14.7,0.17,920
KY,Kentucky,2.75,14,0.15,1250
LA,Louisiana,2.6,12.4,0.17,950
MA,Massachusetts,3,31.5,0.155,680
MD,Maryland,2.65,17.8,0.16,820
ME,Maine,2.85,29.6,0.15,550
MI,Michigan,2.8,19.5,0.145,1050
MN,Minnesota,2.85,15.8,0.155,900
MO,Missouri,2.7,14.1,0.16,1150
MS,Mississippi,2.7,14.5,0.165,980
MT,Montana,2.85,13.5,0.165,750
NC,North Carolina,2.55,14.8,0.165,850
ND,North Dakota,3.1,11,0.155,1100
NE,Nebraska,3,13.5,0.165,1050
NH,New Hampshire,2.85,26.5,0.15,600
NJ,New Jersey,2.65,20.5,0.155,750
NM,New Mexico,2.5,15,0.2,920
NV,Nevada,2.3,13,0.2,880
NY,New York,2.8,24.5,0.15,700
OH,Ohio,2.7,16.5,0.145,1050
OK,Oklahoma,2.65,13,0.175,900
OR,Oregon,2.7,14,0.16,480
PA,Pennsylvania,2.65,18.5,0.15,820
RI,Rhode Island,2.8,31.3,0.15,680
SC,South Carolina,2.5,15.5,0.17,850
SD,South Dakota,3.1,13.8,0.165,900
TN,Tennessee,2.85,13.5,0.155,980
TX,Texas,2.19,15.9,0.18,950
UT,Utah,2.5,13,0.19,1050
VA,Virginia,2.6,15.5,0.16,800
VT,Vermont,2.9,22.5,0.145,350
WA,Washington,2.75,12.5,0.145,380
WI,Wisconsin,2.8,17.5,0.15,1000
WV,West Virginia,2.8,14.5,0.145,1350
WY,Wyoming,2.9,12.5,0.175,1200
